Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
D&G Car Rent,Agenzia di noleggio auto,,351 346 1824,SP81,Carapelle,,,,,,,,,,,
FEDE MotorS,Concessionario auto,,0885 845017,"Via Don Damiano Ciano, 18",Carapelle,,,,,,,,,,,
auto del sud srls,Agenzia di noleggio auto,,379 176 9344,Via G. Galilei,Apricena,,,,,,,,,,,
De Muzio Umberto,Rivenditore di auto,,0881 962429,"Via Roma, 1",Castelluccio dei Sauri,,,,,,,,,,,
Ciotti Carmela,Meccanico e assistenza automobili,,349 093 1534,"Via Giuseppe Mazzini, 8 8 A",Castelluccio dei Sauri,,,,,,,,,,,
Demartino Raffaele,Officina autoriparazioni,,0881 962068,"Villaggio Artigiani, Castelluccio Dei Sauri, FG 71025",Castelluccio dei Sauri,,,,,,,,,,,
G.S.Rental Car di Pietro Santoro,Agenzia di noleggio auto,,379 273 4699,"Viale Maria Santissima Ausiliatrice, n°65",Cerignola,,,,,,,,,,,
Pit Stop Washing D'Antuono,Autolavaggio,,334 800 6596,Via Antonio Gramsci,Carpino,,,,,,,,,,,
Officina Meccanica Ciotti,Meccanico e assistenza automobili,https://meccanicaciotti.it/,351 703 2375,"Via Leonardo da Vinci, 15",Castelluccio dei Sauri,,,https,WordPress,No,"Cloudflare, Inc.",76,97,92.00,Sì,No
Alex M Service di Domenico Scrocco,Agenzia di noleggio auto,,366 632 2834,"Via Ascoli Satriano, Km 3800 150",Foggia,,,,,,,,,,,
Noleggio Deg Auto e Moto,Agenzia di noleggio auto,,340 804 3400,"Via Guido Rossa, 2",Apricena,,,,,,,,,,,
AUTO ROMA,Centro per la revisione tecnica delle auto,https://www.autoromaweb.it/,0881 962684,"Unnamed Road, 71025",Castelluccio dei Sauri,,,https,ASP.NET,No,Aruba S.p.A. Network,91,100,82.00,Sì,No
Carpino rent,Agenzia di noleggio auto,,389 169 7944,"Strada Statale 17, km 194+700",Santa Maria del Molise,,,,,,,,,,,
Bosch Car Service Officina Ciotti Pasquale,Officina autoriparazioni,https://www.boschcarservice.com/it/it,0881 962438,Via Leonardo da Vinci,Castelluccio dei Sauri,,,https,Altro,No,Microsoft Corporation,55,59,100.00,Sì,No
Sicily by Car Autonoleggio Aeroporto Foggia,Agenzia di noleggio auto,,0881 025422,"Viale degli Aviatori, 1",Foggia,,,,,,,,,,,
Noleggio Auto e Moto Di Brina - Rental Car & Scooter - Gargano,Agenzia di noleggio auto,http://www.dibrinamoto.it/noleggio,346 790 2140,"Via Pietro Nenni, 16/18 Rodi Garganico 71012",Rodi Garganico,,dibrinamoto@libero.it,https,WordPress,No,Aruba S.p.A. Network,66,93,92.00,Sì,No
Carrozzeria GIUSEPPE DE BRITA BICCARI 2CV,Carrozzeria,,348 470 8172,SP132,Biccari,,,,,,,,,,,
Staffiero Antonio Mario,Concessionario auto,http://www.staffiero.it/,0885 782105,"Via Carapelle km 0700, SP81",Orta Nova,,,https,WordPress,No,Google LLC,44,39,92.00,Sì,No
Sessauto di Sessa Luigi - Centro Revisioni,Officina autoriparazioni,,0881 593103,"Contrada Sterparo Mascia, 22",Biccari,,,,,,,,,,,
Checchia Donato,Servizio componenti elettrici per auto,,0881 591734,"Via Giardino, 89",Biccari,,,,,,,,,,,
D.M.V. Tours Agenzia Laconcordia,Agenzia di noleggio auto,,338 291 5078,"Via Vincenzo Capozzi, 19",Foggia,,,,,,,,,,,
Officina Meccanica & Soccorso Stradale di D'Angelico Giuseppe,Officina autoriparazioni,,340 610 2057,"Via Giardino, 115",Biccari,,,,,,,,,,,
Meccanica Saldarelli Michele di Giuseppe e Gennaro Saldarelli S.n.c.,Officina autoriparazioni,,0881 593335,"Via Giardino, 168/170",Biccari,,,,,,,,,,,
Europcar Foggia,Agenzia di noleggio auto,,0881 580188,"Via Monte Sabotino, 7/a",Foggia,,,,,,,,,,,
Officina Meccanica M.a.m.,Agenzia di noleggio auto,,339 194 6945,"Via Cairoli, 160",Celenza Valfortore,,,,,,,,,,,
Automobili Catalano noleggio & vendita auto e furgoni,Agenzia di noleggio auto,,351 062 2998,"Via Giovanni Guareschi, 40",San Severo,,,,,,,,,,,
adventuryquad noleggio,Agenzia di noleggio auto,,347 383 4137,"Via Sacco e Vanzetti, 8",Apricena,,,,,,,,,,,
Di Nunzio Angelo,Servizi di sicurezza stradale,,345 245 6189,Contrada Coppa,Carpino,,,,,,,,,,,
