Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Damatrà,Bar,,349 684 8593,"Via Giovanni Bersan, 24",Aicurzio,,,,,,,,,,,
Ristorante Eoliano,Ristorante,,039 609 3637,cascina restelli,Aicurzio,,,,,,,,,,,
Pizzeria d'Asporto Carpe Diem,Pizza da asporto,,0373 976576,"Via Dante Alighieri, 12",Agnadello,,,,,,,,,,,
Trattoria Dell'Angelo,Ristorante,,347 594 2500,"Via Alessandrina, 7A",Albuzzano,,,,,,,,,,,
Ristorante Pizzeria Grotto Bedorè,Pizzeria,,392 390 5554,"Via delle Betulle, 15",Agra,,,,,,,,,,,
Ristorante Il Pino,Ristorante,,0382 488493,"SP37, 6",Albuzzano,,,,,,,,,,,
Dir Und Don Ristorante Brasserie,Ristorante italiano,,0163 326582,"Piazza Regina Margherita, 1",Alagna Valsesia,,,,,,,,,,,
Ristorante Unione,Ristorante italiano,,0163 922930,"Via Fratelli Viotti, 3",Alagna Valsesia,,,,,,,,,,,
Zam Tachji,Ristorante,,346 506 2475,"Via Miniere, 2",Alagna Valsesia,,,,,,,,,,,
Bar Ristorante Wold,Ristorante,,0163 91208,Località Wold,Alagna Valsesia,,,,,,,,,,,
Ai Burattini Di Bellini Gianmarco,Ristorante,http://www.aiburattini.it/ristorante/,035 933433,"Via Madaschi, 101",Adrara San Martino,,,https,WordPress,No,SEEWEB s.r.l.,56,99,77.00,Sì,No
Il giro delle delizie,Bar,,0332 268662,"Via Croci, n.8",Agra,,,,,,,,,,,
Ristorante Pizzeria La Fermata,Ristorante,,0382 488567,"Via Roma, 27",Albuzzano,,,,,,,,,,,
Osteria Toscana e Non Solo,Ristorante toscano,https://osteriatoscanaenonsolo.it/it,0382 584534,"Viale Lodi, 56",Vigalfo,,osteriatoscana@yahoo.com,https,ASP.NET,Sì,"Amazon.com, Inc.",55,54,100.00,Sì,No
Ristorante Cà Nosta,Ristorante,,327 211 0649,"Piazza Regina Margherita, 5",Alagna Valsesia,,,,,,,,,,,
An Bacher Wi,Negozio di vini,,339 366 6100,"Via dei Walser, 11",Alagna Valsesia,,,,,,,,,,,
Ristorante San Martino,Ristorante,http://www.sanmartinoristorante.it/,035 934040,"VIa Squadra Alta, 6",Adrara San Martino,,info@sanmartinoristorante.it,http,ASP.NET,No,Microsoft Corporation,38,49,82.00,Sì,No
Ristorante - Pizzeria Tio Pepe di Valentini Paolo & C.,Ristorante italiano,,0332 573145,"Viale Roma, 1",Agra,,,,,,,,,,,
L. E C. Sas Di Zuppardi Christian E C.,Pizzeria,,0382 484053,"Via Alessandrina, 7",Albuzzano,,,,,,,,,,,
Il Baretto,Bar,http://www.alagna.it/,328 908 9493,"Via Miniere, 4",Alagna Valsesia,,info@monterosabooking.com,https,React,Sì,Hetzner Online GmbH,75,93,92.00,Sì,No
Circolo di Valdarno,Ristorante,,0331 993563,"Via Monte Rosa, 4",Albizzate,,,,,,,,,,,
