Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Saracino Biagio Lorenzo,Otorinolaringoiatra,,099 970 4133,"Via Roma, 45",Avetrana,,,,,,,,,,,
Villa Fenice,Clinica medica,,331 342 6267,"Via Sorani, 31",Manduria,,,,,,,,,,,
Studi Medici Assist,Associazione / Organizzazione,,099 970 4472,"Via Piave, 56",Avetrana,,,,,,,,,,,
Laboratorio di Analisi Cliniche Dr.ssa Giovanna Modeo S.R.L.,Laboratorio medico,https://www.labmodeosrl.it/,099 970 4557,"Via Don A. Mazzei, 24",Avetrana,,labmodeo@libero.it,https,React,No,Aruba S.p.A. Network,63,94,91.00,Sì,No
Consultorio Familiare - Avetrana,Centro servizi sociali,,099 970 4062,"Via Piave, 101",Avetrana,,,,,,,,,,,
I CARE MEDICAL,Centro medico,http://www.progettosalute360.it/,0832 177 8022,"Via Ferrante d'Aragona, 55",Copertino,,info@progettosalute360.it,https,WordPress,No,IT.Gate S.p.A.,68,79,92.00,Sì,No
Villa Verde,Casa di cura,http://www.villaverde.lecce.it/,0832 224111,"Via Monteroni, 222",Lecce,,,https,React,No,Aruba S.p.A.,67,93,100.00,Sì,No
Konsumer Salento,Centro medico,,351 867 4900,"Via Rodi, 38",Calimera,,,,,,,,,,,
Consultorio Familiare ASL,Ambulatorio medico,,0832 873354,Via Colaci,Calimera,,,,,,,,,,,
dott .Antonio Pastore specialista otorinolaringoiatra,Otorinolaringoiatra,,339 674 9078,"Via Santa Maria, 29",Avetrana,,,,,,,,,,,
Studio Radiologico Di Verderamo Enrica & C. S.A.S.,Centro di diagnostica per immagini,http://www.radiologiaverderamo.it/,0832 872692,"Via Cimabue, 11",Calimera,,info@radiologiaverderamo.it,https,Joomla,Sì,OVH SAS,44,68,85.00,Sì,No
Centro Medico San Luca Lecce Foggia,Clinica per la fertilità,http://www.procreare.it/,080 561 7851,"Vico dei Guidani, 2",Lecce,,info@procreare.it,https,Shopify,No,Server Plan S.r.l.,28,43,92.00,Sì,No
Athena - Servizi Sanitari Sanitari Assistenziali per Anziani,Casa di riposo,http://www.athenaservizi.it/,0832 873505,"Via Salvo D'Acquisto, 25",Calimera,,,https,React,No,Aruba S.p.A.,69,99,73.00,Sì,No
