Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
LIDO GIRASOLE,Stabilimento balneare,,351 691 0895,"Via delle Acacie, senza numero",San Pietro In Bevagna,,,,,,,,,,,
Onda Blu Lido - Spiaggia Privata Ristorante Bar Paninoteca Tabacchi,Stabilimento balneare,https://www.ondablulido.it,347 813 3278,"SP122, 84",Taranto,,,https,ASP.NET,No,Aruba S.p.A,60,92,100.00,Sì,No
Lido Conca del Sole,Stabilimento balneare,http://www.lidoconcadelsole.it,328 595 5842,"Litoranea salentina, Contrada Bagnara",Marina di Lizzano,,,https,React,Sì,Aruba S.p.A. Network,59,92,100.00,Sì,No
Lido Gandoli - Stabilimento Balneare,Stabilimento balneare,http://www.lidogandoli.it,099 533 1088,Viale Lido Gandoli,Leporano,,lidogandoli@libero.it,https,WordPress,Sì,OVH SAS,61,92,92.00,Sì,No
L' Ultima Spiaggia,Stabilimento balneare,,380 347 6646,SP122,Taranto,,,,,,,,,,,
Bahia del Sol,Stabilimento balneare,http://www.labahiadelsol.it,334 536 8158,SP122,Torretta Mare,,info@labahiadelsol.it,https,WordPress,No,Host SpA,59,60,77.00,Sì,No
BLUE SUN BEACH,Stabilimento balneare,https://www.lidobluesun.it,320 616 2806,"SP122, 108",Taranto,,info@lidobluesun.it,https,Shopify,Sì,Serverplan S.r.l.,45,53,92.00,Sì,No
Rio de Mar BEACH,Stabilimento balneare,http://riodemarbeach.com,340 368 3615,V. dei Meli,San Pietro In Bevagna,,,https,ASP.NET,No,Aruba S.p.A. Network,98,100,82.00,Sì,No
Lido Arenile,Stabilimento balneare,,379 112 3393,"Viale del Tramonto, 103",Taranto,,,,,,,,,,,
Tayga Beach,Stabilimento balneare,http://www.taygabeach.it,099 971 4912,SP122,Maruggio,,,https,ASP.NET,Sì,Server Plan S.r.l.,66,74,85.00,Sì,No
Canneto Beach,Stabilimento balneare,http://www.cannetobeach.it,099 533 2037,"Via Argentina, 200",Leporano,,info@cannetobeach.it,https,React,Sì,Serverplan S.r.l.,56,90,92.00,Sì,No
Lido San Michele Stabilimento Balneare Bar & Food,Stabilimento balneare,,099 652 7628,"Viale del Tramonto, 87",Taranto,,,,,,,,,,,
MoMà Exclusive Beach,Stabilimento balneare,https://www.momaexclusivebeach.it,324 589 9102,Via del Rovi,Manduria,,,https,React,Sì,Aruba S.p.A.,61,88,100.00,Sì,No
MurMur Beach,Stabilimento balneare,https://murmurbeach.it,351 382 4340,Via Fellone,San Pietro In Bevagna,,info@murmurbeach.it,http,React,Sì,Contabo GmbH,60,85,100.00,Sì,No
Yachting Club Porticciolo,Stabilimento balneare,http://www.yachtingclubsanvito.com,099 593 4158,"Via Ombrine, 4A",Taranto,,yachtingclub@outlook.it,https,Shopify,Sì,Aruba S.p.A.,63,73,92.00,Sì,No
Lido Fiume Piccolo Beach,Stabilimento balneare,,377 344 8737,"Via Appia Antica, 41",Torre Canne,,,,,,,,,,,
Lido Rilcado,Stabilimento balneare,,347 636 3052,"Lungomare Marinai D'Italia, 48",Lido Chiatona-Stazione di Palagiano,,,,,,,,,,,
Lido Oasis Beach Cafè,Stabilimento balneare,,339 203 4854,"Via 277, 5156",Punta Prosciutto,,,,,,,,,,,
El Patio beach club,Stabilimento balneare,https://elpatiobeach.it,328 138 6405,Lungomare Eroi del Mare,Castellaneta Marina,,info@elpatiobeach.com,https,WordPress,No,Aruba S.p.A,96,92,92.00,Sì,No
Bassamarea Lido Club,Stabilimento balneare,http://www.bassamarealidoclub.net,0833 856030,"Torre Lapillo, Via Torre",Porto Cesareo,,info@bassamarealidoclub.net,https,ASP.NET,No,Aruba S.p.A. Network,84,92,92.00,Sì,No
Lido La Pineta,Stabilimento balneare,http://www.lidolapineta.it,328 767 9725,Via Torre Lapillo,Torre Lapillo,,info@lidolapineta.it,https,WordPress,No,Aruba S.p.A.,63,67,69.00,Sì,No
Lido Teranga Bay,Stabilimento balneare,http://www.terangabay.it,331 120 0999,"Via 297, 22",Punta Prosciutto,,indirizzo@nomedominio.it,https,WordPress,No,Aruba S.p.A.,55,66,77.00,Sì,No
Spiaggia del Conte,Stabilimento balneare,http://www.lapuntabeach.it,366 134 0243,Via Onofrio Sauli Scassi,Punta Prosciutto,,info@lapuntabeach.it,https,WordPress,No,Hetzner Online GmbH,20,45,85.00,Sì,No
