Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Lido Kalù,Stabilimento balneare,,389 684 8765,"Via Itaca Lido, SNC",Torre Rinalda,,,,,,,,,,,
Litos Porto Selvaggio,Stabilimento balneare,,327 777 9421,Serra Cicora,Nardò,,,,,,,,,,,
Stabilimento Balneare Molo 13,Stabilimento balneare,,327 741 6582,Lungomare A. Mori,Frigole,,,,,,,,,,,
Lido Rivabella,Stabilimento balneare,http://www.lidorivabella.it,320 492 4029,Via Capricorno,Rivabella,,,https,WordPress,No,Hetzner Online GmbH,46,97,92.00,Sì,No
Por do Sol,Stabilimento balneare,,340 302 3003,"Litoranea Per Santa Maria Di Leuca, Lungomare Galileo Galilei",Baia Verde,,,,,,,,,,,
Calòma beach,Stabilimento balneare,https://calomabeach.com,392 026 6342,Via litoranea Pescoluse,Torre Pali,,,https,React,Sì,"Amazon.com, Inc.",66,84,92.00,Sì,No
Stabilimento Balneare Lido La Staffa,Stabilimento balneare,,335 647 4346,Lungomare A. Mori,Idrovore,,,,,,,,,,,
Cocoloco Stabilimento Balneare,Stabilimento balneare,http://www.lidococoloco.it,347 665 0789,"Litoranea per S.Maria di Leuca, Torre San Giovanni",Ugento,,info@lidococoloco.it,https,Shopify,Sì,SEMPLIFY-SRL,93,76,100.00,Sì,No
I Caraibi del Salento,Stabilimento balneare,http://www.caraibisalento.com,376 057 7875,Arenile di,Torre dell'Orso,,,https,WordPress,No,IT.Gate S.p.A.,56,64,92.00,Sì,No
Lido Rosa Dei Venti,Stabilimento balneare,,334 747 3437,Viale Nettuno,Conchiglie-Alto Lido,,,,,,,,,,,
Lido Sol D'oro,Stabilimento balneare,,368 730 5538,Via Dei Gabbiani,Gallipoli,,,,,,,,,,,
Lido La Bussola,Stabilimento balneare,,380 718 3769,"Via Capricorno, 1",Gallipoli,,,,,,,,,,,
Punta della Suina,Stabilimento balneare,http://www.puntadellasuina.it,348 742 7000,Litoranea s.m di leuca,Gallipoli,,,http,ASP.NET,No,Aruba S.p.A,60,92,92.00,Sì,No
SPIAGGIA CLUB S.r.l.,Stabilimento balneare,,393 138 3303,"Via Giacomo Leopardi, 106",Parabita,,,,,,,,,,,
Zen Beach Gallipoli,Stabilimento balneare,http://www.lidozen.it,347 558 0000,Litoranea,Gallipoli,,,https,Shopify,Sì,Netsons Network,61,82,100.00,Sì,No
Lido San Basilide,Stabilimento balneare,,327 019 2869,"Viale Eolo, 19",Torre Chianca,,,,,,,,,,,
Lido La Sorgente,Stabilimento balneare,,327 668 9748,"V. Panoramica, 24",Castro,,,,,,,,,,,
Maluha Bay,Stabilimento balneare,http://www.maluhabay.it,320 477 9094,Via Marebello,Lecce,,maluhabay.hellobeach@gmail.com,https,Squarespace,No,Aruba S.p.A.,50,73,85.00,Sì,No
Lido Turrisi,Stabilimento balneare,,379 118 6954,Lungomare S. Caboto,San Cataldo,,,,,,,,,,,
Lido Hookipa Beach,Stabilimento balneare,,331 453 9900,"Via 3 Mare Adriatico, 73010 Belvedere, 73010",Porto Cesareo,,,,,,,,,,,
Lido Mar Y Sol,Stabilimento balneare,http://www.lidomarysol.it,333 658 4300,Località Padula Bianca,Gallipoli,,info@lidomarysol.it,https,WordPress,No,Aruba S.p.A. Network,40,71,100.00,Sì,No
Rottacapozza Beach,Stabilimento balneare,http://www.rottacapozzabeach.it,342 679 0432,Lungomare N. Sauro,Ugento,,info@rottacapozzabeach.it,https,React,Sì,Aruba S.p.A.,44,83,92.00,Sì,No
Lido Pineta,Stabilimento balneare,http://www.lidopineta.it,334 313 0040,"Località Fontanelle, SP91",Ugento,,info@lidopineta.it,https,Shopify,Sì,Seeweb srl,59,72,100.00,Sì,No
Lido il Molo,Stabilimento balneare,http://www.lidoilmolo.it,338 451 7728,Contrada Poseidona,Torre San Giovanni,,info@lidoilmolo.it,https,WordPress,No,Aruba S.p.A.,60,82,92.00,Sì,No
Lido La Pineta,Stabilimento balneare,http://www.lidolapineta.it,328 767 9725,Via Torre Lapillo,Torre Lapillo,,info@lidolapineta.it,https,WordPress,No,Aruba S.p.A.,64,71,69.00,Sì,No
Lido Leucasia Golden Beach STABILIMENTO balneare Torre Lapillo con OMBRELLONI e LETTINI nella spiaggia più bella d'Italia,Stabilimento balneare,http://www.lidoleucasia.it,389 348 4913,Via Carpignano Salentino,Torre Lapillo,,info@lidoleucasia.it,https,Angular,No,Aruba S.p.A.,54,59,91.00,Sì,No
Lido Granchio Rosso,Stabilimento balneare,,333 800 6061,Lungomare A. Mori,Idrovore,,,,,,,,,,,
Lido Canne,Stabilimento balneare,https://www.lidocanneape.it,346 642 0251,"Via Torre Lapillo, 0",Torre Lapillo,,,https,Shopify,Sì,"Amazon.com, Inc.",59,78,92.00,Sì,No
Lido Venere,Stabilimento balneare,http://www.lidovenere.com,320 656 3779,"Corso Italia, 3",Salve,,info@lidovenere.com,https,WordPress,Sì,Aruba S.p.A.,56,66,85.00,Sì,No
Lido dei Pirati,Stabilimento balneare,,328 883 5745,"Via dei Bacini, 20",Scala di Furno,,,,,,,,,,,
Bassamarea Lido Club,Stabilimento balneare,http://www.bassamarealidoclub.net,0833 856030,"Torre Lapillo, Via Torre",Porto Cesareo,,info@bassamarealidoclub.net,https,ASP.NET,No,Aruba S.p.A. Network,56,94,92.00,Sì,No
