Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Bed & Breakfast La Vecchia Osteria,Bed & Breakfast,,371 410 2881,S.R. 471,Montereale,,,,,,,,,,,
Agriturismo Amatrice,Ristorante,https://www.agriturismoamatrice.com/,388 475 2237,"Frazione S. Cipriano, 158",Amatrice,,,https,Joomla,No,Aruba S.p.A.,70,97,100.00,Sì,No
Bed and Breakfast Emilia,Bed & Breakfast,,346 830 2266,"Via del Campo Sportivo, 2",Cagnano Amiterno,,,,,,,,,,,
La Fontana,Bed & Breakfast,http://www.lafontana-bb.it/,340 588 9358,"Codice CIN IT067034C18M5KJ6UD, Via Casarine, 9",Intermesoli,,info@lafontana-bb.it,https,ASP.NET,No,Aruba S.p.A. Network,71,95,91.00,Sì,No
B&B Il Giardino,Bed & Breakfast,,393 903 2745,"Viale Regina Margherita, 10",Antrodoco,,,,,,,,,,,
B&B la casetta,Bed & Breakfast,,329 391 7838,"Via del Castello, 30",Antrodoco,,,,,,,,,,,
Agriturismo Il Casale Pica,Agriturismo,https://ilcasalepica.it/,349 789 6258,"Via Villa Camponeschi, 1",Posta,,info@ilcasalepica.it,https,React,No,Aruba S.p.A. Network,99,100,73.00,Sì,No
Le stanze di Bacco,Alloggio turistico,https://dibacco.tripcombined.com/,349 606 0508,"Via S. Giovanni, 53",Cagnano Amiterno,,,https,React,No,Contabo GmbH,57,88,92.00,Sì,No
Agriturismo L.D.L Amatrice,Agriturismo,http://www.agriturismoldl.it/,0746 818037,"Frazione Cornelle Di Sopra, Snc",Amatrice,,info@agriturismoldl.it,https,ASP.NET,No,Aruba S.p.A. Network,63,73,91.00,Sì,No
Gran Sasso Letizia B&B,Bed & Breakfast,http://beb.it/gransassoletiziabb,327 572 0600,"Via delle Aie, 8",Filetto,,,https,Vue,No,"Amazon.com, Inc.",72,94,100.00,Sì,No
Lago Secco B&B,Bed & Breakfast,https://www.lagosecco.com/,0746 80975,"Frazione Illica, 6",Illica,,,https,React,Sì,Google LLC,68,94,100.00,Sì,No
Palazzo Pallini,Bed & Breakfast,,333 272 1930,"Corso Roma, 12",Antrodoco,,,,,,,,,,,
Ostello Il Castagno,Ostello,https://www.ostelloilcastagno.com/,346 947 1143,"Via Fossi, 15",Antrodoco,,ilcastagnoostello@gmail.com,https,React,No,"Cloudflare, Inc.",34,43,92.00,Sì,No
Albergo Diffuso Amatrice,Hotel,http://www.albergodiffusoamatrice.it/,346 305 1912,"SS260, 35",Amatrice,,info@albergodiffusoamatrice.it,https,WordPress,Sì,Server Plan S.r.l.,66,87,92.00,Sì,No
La Casa della Rocca,Bed & Breakfast,http://www.lacasadellarocca.it/,351 469 5385,"Piazza Santa Maria Assunta, 3",Antrodoco,,lacasadellarocca@gmail.com,https,WordPress,No,"Cloudflare, Inc.",50,59,100.00,Sì,No
Hotel L'Aquila,Hotel,https://hotelaquilascoppito.top/,0862 717089,"V. Roma, 208",Scoppito,,,https,WordPress,Sì,"Cloudflare, Inc.",67,90,100.00,Sì,No
Leoness Affittacamere,Bed & Breakfast,,0746 920038,"Viale Francesco Crispi, 20",Leonessa,,,,,,,,,,,
Abbazia La Corte - SS. Quirico e Giulitta,Ristorante,https://www.abbaziasanquirico.it/,348 745 7887,"SS 4 Via Salaria, 1A",Micigliano,,info@abbaziasanquirico.it,https,WordPress,Sì,Serverplan s.r.l.,59,94,92.00,Sì,No
La Locanda,Hotel,https://la-locanda.hotelpreferito.top/,338 752 8770,"Via degli Archi, 1",Rocca Sinibalda,,,https,React,No,Contabo GmbH,52,85,92.00,Sì,No
