Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
OVS,Negozio di abbigliamento,,0832 346699,"Via di Leuca, 249",Lecce,,,,,,,,,,,
Tezenis,Negozio di intimo,,379 284 2545,"Via Salvatore Trinchese, 27 A/B/C",Lecce,,,,,,,,,,,
Duemme Snc,Negozio di alimentari,,0871 382330,"Via Piane, 167",Bucchianico,,,,,,,,,,,
Happy Casa Store Surbo,Casalinghi,,0832 279310,Via Piero Gobetti,Surbo,,,,,,,,,,,
La cantina,Negozio di alimentari,,0864 576196,"Via Roma, 13",Acciano,,,,,,,,,,,
Comune di Acciano - sede provvisoria uffici,Municipio,,0864 799132,"Via Roma, 9",Acciano,,,,,,,,,,,
Ufficio Postale Poste Italiane,Ufficio postale,,0864 680328,"Via Roma, 10",Acciano,,,,,,,,,,,
Alimentari Nucci Vincenzo,Alimentari,,0863 788229,"Corso Interno, 10",Aielli,,,,,,,,,,,
il tempo,Casa per vacanze,,329 796 9671,"Via Roma, 5",Aielli,,,,,,,,,,,
Comune di Anversa degli Abruzzi,Municipio,,0864 49115,"Via Giambattista Manso, 5",Anversa degli Abruzzi,,,,,,,,,,,
Supermercato Sidis mini di Be.Da.Lo. Srl,Alimentari,,0864 655124,Via Stazione,Ateleta,,,,,,,,,,,
Urbanucci,Negozio di articoli da regalo,https://www.urbanucci.com/,0871 381010,"Via Piane, 1c",Bucchianico,,info@urbanucci.com,https,WordPress,No,Aruba S.p.A. Network,56,98,92.00,Sì,No
Carabinieri Comando Stazione Anversa Degli Abruzzi,Arma dei Carabinieri,,0864 49116,Via Vittorio Emanuele,Anversa degli Abruzzi,,,,,,,,,,,
CONAD,Alimentari,,0861 753132,"Via Duca d'Aosta, 45",Alba Adriatica,,,,,,,,,,,
Il Magazzeno,Negozio di frutta e verdura,,346 944 6125,"Via S. Marino, 8",Alba Adriatica,,,,,,,,,,,
Alba S.r.l.,Centro commerciale,,0861 753133,"Via Duca d'Aosta, 45",Alba Adriatica,,,,,,,,,,,
Casa Verde,Ristorante,http://www.casaverdeaielli.com/,389 119 9160,"Via Stazione, 3",Aielli,,info@website.com,https,React,No,Aruba S.p.A.,54,61,92.00,Sì,No
GRUPPO RICERCATO IMMOBILIARE DAL 1978 - AGENZIA IMMOBILIARE LECCE,Agenzia immobiliare,http://www.immobiliarericercato.it/,0832 099250,"Viale Japigia, 20",Lecce,,,https,ASP.NET,Sì,Keliweb S.R.L,50,65,85.00,Sì,No
