Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Comune di Alluvioni Piovera,Municipio,,0131 848121,"Via Roma, 67",Montariolo,,,,,,,,,,,
BRB,Legna da ardere e pellet,,011 986 8375,"Via Moano, 13/A",Arignano,,,,,,,,,,,
Bar Centro Fondo Aisone - Aisa S.c.,Pub,http://www.barcentrofondo.it/,0171 95717,"Via del Ponte, 1",Aisone,,info@barcentrofondo.it,https,React,Sì,Seeweb srl,86,91,92.00,Sì,No
Carrozzeria F.lli Berruto,Carrozzeria,https://www.carrozzeriaberruto.it/,011 946 2225,"Via dell'Industria, 8",Arignano,,,https,WordPress,Sì,Hetzner Online GmbH,55,66,92.00,Sì,No
EANDI ORTOFRUTTICOLI di Eandi Mauro & C Sas,Magazzino all'ingrosso,,353 344 0308,"Via Centallo, 9",Caraglio,,,,,,,,,,,
Idroterm srl - MAGAZZINO,Arredo bagno,http://www.idroterm.com/,0171 410500,"Via Canonico Rossi, 15 - Fr",Cuneo,,idroterm@idroterm.com,https,React,Sì,Google LLC,53,91,92.00,Sì,No
Alimentari Bendotti Cristina,Alimentari,,0163 91357,"Via dei Walser, 4/b",Alagna Valsesia,,,,,,,,,,,
Magazzino Edile Saluzzese Srl,Fornitore di materiali da costruzione,http://www.mesceramiche.it/,0171 605582,"Corso Galileo Ferraris, 9",Cuneo,,info@mesceramiche.it,https,WordPress,No,Register.IT S.p.A,56,81,85.00,Sì,No
Idrocentro magazzino Abitare Magazzino edile,Negozio di forniture idrauliche,http://www.idrocentro.com/,011 947 0275,"Corso Torino, 121",Chieri,,info@idrocentro.com,https,ASP.NET,Sì,Netsons s.r.l.,56,69,92.00,Sì,No
Brignone osvaldo,Magazzino all'ingrosso,,0171 689025,"Via Rocca, 18",Cuneo,,,,,,,,,,,
La Civera,Negozio di abbigliamento,,347 762 1508,Piazza degli Alberghi,Alagna Valsesia,,,,,,,,,,,
Macagno Distribuzione di Macagno Giorgio,Magazzino all'ingrosso,https://www.macagnodistribuzione.it/,335 609 4095,"Via Monte Vecchio, 1",Borgo San Dalmazzo,,giorgiomacagno@gmail.com,https,WordPress,No,Server Plan S.r.l.,61,84,92.00,Sì,No
Magazzino Mary-jouèclub,Negozio di giocattoli,http://www.magazzinomary.it/,0171 384084,"Via Tetto Meineri, 146",Beinette,,info@magazzinomary.it,https,WordPress,Sì,Netsons s.r.l.,32,68,92.00,Sì,No
Carrefour Express,Alimentari,,800 650 650,"P299, Mines Locality",Alagna Valsesia,,,,,,,,,,,
Monterosa 2000 S.p.A.,Funivia,https://www.monterosa2000.it/,0163 922968,"Frazione Bonda, 19",Alagna Valsesia,,info@monterosa2000.com,https,React,No,GENESYS,49,50,100.00,Sì,No
Albergo Monte Rosa,Hotel,http://www.hotelmonterosa-alagna.it/,0163 923209,"Piazza degli alberghi, 12",Alagna Valsesia,,,https,Shopify,No,"Squarespace, Inc.",56,72,85.00,Sì,No
Alagna Outdoor,Negozio di articoli sportivi,,0163 922970,"Piazza Degli Alberghi, 18",Alagna Valsesia,,,,,,,,,,,
Alagna 2000 di Grober Cristina & C. SAS,Casa per vacanze,http://www.alagna2000.it/,334 165 9275,"Via dei Walser, 26",Alagna Valsesia,,info@alagna2000.it,https,ASP.NET,Sì,Aruba S.p.A.,60,69,100.00,Sì,No
Ufficio Turistico Alagna Valsesia,Centro informazioni turistiche,https://www.alagna.it/,0163 922988,"1 Piazza Grober, 13021",Alagna Valsesia,,info@monterosabooking.com,https,WordPress,Sì,Hetzner Online GmbH,72,72,92.00,Sì,No
Carta Express Di Sergio Borgia,Magazzino all'ingrosso,,346 573 3499,"Spalto Marengo, 106",Alessandria,,,,,,,,,,,
Exclusive Materials S.a.s.,Fornitore di attrezzature per l'edilizia,http://www.exclusivematerials.it/,0131 171 2528,"Via Fernando Santi, 22",Alessandria,,,https,React,No,Google LLC,72,97,54.00,Sì,No
Edilemmegi Sas Di Scarabello Michele & C.,Fornitore di materiali da costruzione,,0131 220224,"Via Achille Sclavo, 21",Alessandria,,,,,,,,,,,
Suppo e Massetani S.n.c.,Negozio di piastrelle ceramiche,,011 935 1502,"Via Circonvallazione, 66",Almese,,,,,,,,,,,
Risparmio Casa,Grande magazzino,https://www.risparmiocasa.com/store/alessandria-via-f-coppi/,0131 178 6021,Via Fausto Coppi,Alessandria,,info@risparmiocasa.com,https,WordPress,No,Google LLC,67,76,85.00,Sì,No
Palazzo Melchionni,Grande magazzino,http://www.melchionni.it/index.asp,0131 287581,Via Giovanni Migliara,Alessandria,,info@radioalex.it,https,ASP.NET,Sì,Aruba S.p.A. Network,68,93,92.00,Sì,No
Iper store,Grande magazzino,,388 099 5994,"Via Torino, 26",Alessandria,,,,,,,,,,,
Termosanitaria s.r.l. ( magazzino ),Fornitore di impianti di riscaldamento,https://www.termosanitaria-al.it/,0131 361289,"Via Strada Vecchia Castello, 13",San Michele,,info@termosanitaria3.191.it,https,WordPress,Sì,Server Plan S.r.l.,59,66,92.00,Sì,No
Li.ge.a. Srl,Alimentari,,011 935 1234,"Via Circonvallazione, 134",Almese,,,,,,,,,,,
Affiliato Tecnocasa Studio Almese S.R.L.,Agenzia immobiliare,,011 1903 2250,"Via Avigliana, 12",Almese,,,,,,,,,,,
Despar - Alice Castello,Negozio di alimentari,,0161 909200,"Via Santhià, 26",Alice Castello,,,,,,,,,,,
Dexive - Alessandria,Fornitore di materiali da costruzione,http://www.dexive.it/,0131 218308,"Via Giovanni Scazzola, 79",Alessandria,,info@dexive.it,https,WordPress,Sì,Aruba S.p.A. Network,50,66,92.00,Sì,No
ASD ALICESE CALCIO,Football club,,338 826 2776,Via Cossano,Alice Castello,,,,,,,,,,,
Avalon S.r.l.,Fornitore di prodotti promozionali,,0161 90471,"Strada St. 593, Alice Castello, VC 13040",Madonna,,,,,,,,,,,
Honey Shop - Miele,Negozio di cibi naturali,,0161 90265,"Via Zanca, 8BIS",Alice Castello,,,,,,,,,,,
Il Castello S.A.S.,Servizio di recupero dati,,0161 90667,"Piazza Castello, 4",Alice Castello,,,,,,,,,,,
La latteria,Negozio di latticini,http://www.agriturismoalagna.com/la-latteria.html,328 963 1049,"Via dei Walser, 30-31",Alagna Valsesia,,info@agriturismoalagna.com,https,React,No,"Cloudflare, Inc.",55,57,100.00,Sì,No
Alagna Freeride Paradise,Località sciistica,http://www.visitmonterosa.com/,0163 922922,"Fraz. Bonda, 19",Alagna Valsesia,,,https,Drupal,No,Amazon Technologies Inc.,49,93,85.00,Sì,No
Albergo Montagna di Luce,Hotel,http://www.montagnadiluce.it/,0163 922820,"Frazione Pedemonte, 19",Alagna Valsesia,,info@montagnadiluce.it,,Angular,Sì,Aruba S.p.A.,57,81,92.00,Sì,No
Dora Baltea - Societa' Agricola Cooperativa - Mag. Alice Castello,Cooperativa agricola,,377 708 1688,"Strada della Benna, 1",Alice Castello,,,,,,,,,,,
La Curva del Tabachin,Tabaccheria,,0123 55124,"Via Ceres, 3",Ala di Stura,,,,,,,,,,,
Comune di Ala di Stura,Municipio,,0123 55102,"Piazza Centrale, 22",Ala di Stura,,,,,,,,,,,
Micasa,Grande magazzino,https://www.micasa.ch/it,345 873 9269,"Corso Giuseppe Romita, 50",Alessandria,,migros.service@mfmag.ch,https,React,No,Microsoft Corporation,37,57,85.00,Sì,No
Spazio - Concessionaria Ufficiale Opel Torino,Concessionario Opel,,011 220 2700,"Via Ala di Stura, 80",Torino,,,,,,,,,,,
Cristal de Neige di Garbano Federica,Designer d'interni,,335 173 5470,"Piazza Centrale, 18",Ala di Stura,,,,,,,,,,,
"Lauro sas, pellet tronchetti e terricci",Magazzino all'ingrosso,http://www.laurosas.com/,339 770 9865,"Via Rivera, 140",Almese,,,https,Shopify,No,Google LLC,59,91,92.00,Sì,No
Agrisem Almese Di Ambrosino Aldo E C.,Negozio di prodotti agricoli,https://www.agrisemalmese.it/,011 935 0163,"Via Avigliana, 10/2",Almese,,info@agrisemalmese.it,https,ASP.NET,Sì,Critical Case s.r.l,74,87,91.00,Sì,No
L'ARLECCHINO DI TUDISCO EMANUELE,Negozio di materiali da imballaggio,,0161 909001,"Via Boscherina, 7",Alice Castello,,,,,,,,,,,
A.t.a.p.,Azienda di trasporti in autobus,http://www.atapspa.it/on-line/Home/Lazienda/Comeraggiungerciecontattarci.html,0161 90571,"Via Don Domenico Caffaro, 4",Alice Castello,,segreteria@atapspa.it,https,React,No,"Amazon.com, Inc.",56,77,83.00,Sì,No
Castello,Enoteca,,347 936 3486,"Piazza Castello, 1",Alice Castello,,,,,,,,,,,
