Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
PET'S HOUSE,Negozio di animali,,339 347 5782,"n, Via Dante Alighieri, 18",Cagnano Varano,,,,,,,,,,,
Piccolo Zoo,Negozio di animali,,347 746 3228,"Via Tribuna, 149",Manfredonia,,,,,,,,,,,
Pet Store Srl,Negozio per animali,,0823 827267,Via Raffaele Musone,Marcianise,,,,,,,,,,,
Caputo Giuseppe,Alimentari,,0884 992118,"Via Mazzini, 21",Carpino,,,,,,,,,,,
EuroFarm,Negozio di prodotti agricoli,,0882 454640,"Via Foggia, 226",San Giovanni Rotondo,,,,,,,,,,,
Pet Shop Zoo Acquari,Negozio per animali,,06 700 8048,"Via Monza, 26",Roma,,,,,,,,,,,
PET STORE CONAD,Negozio di animali,,095 873 4720,"Via Gelso Bianco, SNC",Catania,,,,,,,,,,,
Pepe's Shop,Negozio per animali,,349 063 2852,"Via Lentella, 32 A",Apricena,,,,,,,,,,,
PET MARKET By Zoopark Mesagne,Negozio per animali,,0832 182 7909,"Via San Vito dei normanni, 7",Mesagne,,,,,,,,,,,
Baum store,Negozio per animali,,346 131 2494,Via La Quarta,Frigento,,,,,,,,,,,
Di Laurenzo Teresa,Negozio per animali,,0825 801135,"45W9+63, Contrada Montagna, 28/a",Masseria Montagna,,,,,,,,,,,
Little Zoo di Matera Carolina,Negozio per animali,,0882 645085,"Via Melissa, 82",Apricena,,,,,,,,,,,
Animal Store,Toelettatura di animali domestici,,080 424 0846,"Via Parco del Lauro, 6",Polignano a Mare,,,,,,,,,,,
Animal House,Negozio per animali,,0825 872361,"Via Martiri Perazzo, 153",Ariano Irpino,,,,,,,,,,,
Farmacia Margiotta Snc,Farmacia,,0881 982024,"48 Strada St. 91 Bis, Anzano Di Puglia, FG 71020",Anzano di Puglia,,,,,,,,,,,
LiRo House di Pastore Antonella,Negozio per animali,,349 421 0979,"Via Gargano, 51",Manfredonia,,,,,,,,,,,
Amici di Casa,Negozio di animali,,327 205 0325,"Via Foggia, 142",San Giovanni Rotondo,,,,,,,,,,,
Piccoli Amici,Negozio per animali,,340 750 0578,"Via Martin Luther King, 15",Manfredonia,,,,,,,,,,,
RC Pet Shop San Giovanni,Negozio per animali,https://www.rcpetshop.it/,0884 706984,"Via Foggia, 196",San Giovanni Rotondo,,info@rcpetshop.it,https,Angular,Sì,Aruba S.p.A.,51,52,85.00,Sì,No
Supermercato f.lli d'addetta,Alimentari,,342 053 1742,"Via Giacomo Matteotti, 107",Carpino,,,,,,,,,,,
Pet Store,Negozio di animali,https://www.pet-store.it/,095 506600,"Via Etnea, 618",Catania,,shop@pet-store.it,https,Shopify,No,Hetzner Online GmbH,41,45,83.00,Sì,No
Al Piccolo Zoo,Toelettatura di animali domestici,,0825 892081,Via Cardito,Ariano Irpino,,,,,,,,,,,
B.Animals S.N.C.,Negozio per animali,,075 937 2209,"Via Tiberina, 165\B",Deruta,,,,,,,,,,,
Zoo Bautique,Negozio di animali,,0376 253554,"Via Romana Zuccona, 77",San Biagio,,,,,,,,,,,
Pets Gourmet,Negozio per animali,http://petsgourmet.it/,351 538 5143,"Corso Giuseppe Garibaldi, 106/108",Legnano,,clienti@petsgourmet.it,http,WordPress,No,Google LLC,59,83,92.00,Sì,No
Bio Pet Store,Negozio per animali,https://www.biopetstore.com/,376 237 3084,"Via Bazzanese, 5",Casalecchio di Reno,,,https,Hugo,Sì,"Cloudflare, Inc.",36,67,75.00,Sì,No
ANIMALANDIA,Negozio di animali,https://www.animalandiataranto.com/,347 945 0067,"Via Salina Piccola, 12",Taranto,,,https,WordPress,No,"Automattic, Inc",88,98,54.00,Sì,No
Hobby Dog Store - Tutto per il tuo Amico a Quattro Zampe,Negozio di animali,http://www.hobbydogstore.com/,0882 604085,"Via Corato, 52",San Severo,,consulenza.delvecchio@gmail.com,http,React,No,Google LLC,49,47,100.00,Sì,No
CONAD CITY,Alimentari,,0825 440490,"VIA PIANO DELLA CROCE, SNC",Frigento,,,,,,,,,,,
Nature Pet Shop | Negozio per Animali Padova,Negozio per animali,https://www.naturepetshop.it/,049 645 0907,"Piazza Metelli, 2",Padova,,,https,Shopify,Sì,OVH SAS,51,40,92.00,Sì,No
Quattro Zampe & Co.,Negozio per animali,http://www.quattrozampefoggia.it/,0881 662004,"Corso del Mezzogiorno, 21 E/F",Foggia,,,http,ASP.NET,No,Aruba S.p.A. Network,100,100,82.00,Sì,No
SPESA A&O,Negozio di alimentari,https://www.aeo.it/punti-vendita/Puglia/spesa-aeo-deliceto,0881 963503,"VIA BORGO, Via Gavitelle, 22",Deliceto,,aeo-logo@2x.png,https,Altro,No,Google LLC,56,93,85.00,Sì,No
Mega Animal Store,Negozio per animali,,081 1925 6837,"Via Santa Maria a Cubito, 706",Napoli,,,,,,,,,,,
Avicola Grandola,Negozio di animali,,339 296 2967,"Contrada S. Vito, 45",Montecalvo Irpino,,,,,,,,,,,
ZOO MARKET,Negozio di animali,https://www.zoomarketarianoirpino.com/,0825 872437,"Via Cardito, 27/C",Ariano Irpino,,,https,Altro,No,Amazon Technologies Inc.,99,100,73.00,Stato Non Determinato,No
Farmacia S. Antonio Dr. Antonio Di Leo,Farmacia,,0881 961125,"Via Roma, 47",Bovino,,,,,,,,,,,
Rag Store s.a.s.,Negozio di articoli da cucina,https://www.ragstore.it/,0825 881209,Gaudiciello 32,Ariano Irpino,,info@ragstore.it,https,OpenCart,No,IONOS SE,45,56,83.00,Sì,No
Petfood.it - Barfitalia.it - Alimenti per animali,Negozio di alimenti naturali,https://petfood.it/,333 386 2088,"via Campo Rendina, 1",Pizzoli,,info@barfitalia.it,https,PrestaShop,No,"Akamai Technologies, Inc.",56,43,83.00,Sì,No
Piccolo Zoo di Panunzio G&C Srl,Negozio di animali,,0881 772016,"Via Santa Maria della Neve, 26",Foggia,,,,,,,,,,,
Market per Animali,Negozio per animali,,0881 025686,"Via Attilio Muscio, 16",Foggia,,,,,,,,,,,
