Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Artemide Buotique di Perna Federica,Negozio di abbigliamento donna,,0882 604007,"Via Bruno Buozzi, 24",Apricena,,,,,,,,,,,
CELESTE CUCUBA' 0-18 Abbigliamento Firmato Bambini 0-18 anni,Negozio di abbigliamento per bambini,,320 852 7417,"Via Venosa, 24",Apricena,,,,,,,,,,,
Officina Store,Negozio di abbigliamento,,348 562 1853,"Via Vittorio Veneto, 92b",Apricena,,,,,,,,,,,
Bimbi-shop di Lauriola Michele,Negozio di abbigliamento per bambini,,333 262 8393,"Via Alessandro Volta, 7",Apricena,,,,,,,,,,,
CORSO VENETO di Coronato Ludovico,Negozio di abbigliamento uomo,,0882 642416,"Via Vittorio Veneto, 92",Apricena,,,,,,,,,,,
Sposa Chic Abiti da Sposa e Cerimonia Lecce. Sartoria Artigianale,Negozio di abiti da sposa,,0832 401655,"Via Cesare Battisti, 20/C",Lecce,,,,,,,,,,,
Cipriano Gilberto Pio,Tabaccheria,,0881 962608,"Via Roma, 55",Castelluccio dei Sauri,,,,,,,,,,,
Russo Vincenzo,Tabaccheria,,0881 962158,"Piazza Cesare Battisti, 9",Castelluccio dei Sauri,,,,,,,,,,,
De Muzio Umberto,Rivenditore di auto,,0881 962429,"Via Roma, 1",Castelluccio dei Sauri,,,,,,,,,,,
ART ARREDO DEL PRIORE,Negozio di mobili,,0881 962708,"Via Leonardo da Vinci, 71025 Zona Artigianale",Castelluccio dei Sauri,,,,,,,,,,,
Macelleria da Vittorio,Macelleria,,0881 962481,"Piazza Nazario Sauro, 12",Castelluccio dei Sauri,,,,,,,,,,,
R.M. Service,Ferramenta,,0881 470636,"Via Roma, 99/H",Castelluccio dei Sauri,,,,,,,,,,,
Bellissima,Negozio di intimo,,327 396 2609,"Via Guglielmo Marconi, 1",Apricena,,,,,,,,,,,
Vela Latina boutique,Negozio di abbigliamento donna,http://www.velalatinaboutique.com/,0882 434001,"Piazzale Andrea Costa, 4",Apricena,,,http,Shopify,Sì,"Fastly, Inc.",40,51,83.00,Sì,No
Atelier Sposa Chic,Negozio di abiti da sposa,https://ateliersposachic.com/,0882 645388,"Piazza dell'Unità, 14",Apricena,,atelier.sposachic@gmail.com,https,WordPress,Sì,HOSTINGER DE,41,61,100.00,Sì,No
Lapolla,Farmacia,,0881 962051,"Piazza Cesare Battisti, 24",Castelluccio dei Sauri,,,,,,,,,,,
PARADISE 2.0,Gelateria,,392 902 0106,Via Guglielmo Marconi,Castelluccio dei Sauri,,,,,,,,,,,
Mirko Del Priore Progetti e Relax,Produttore di mobili,https://www.progettierelax.it/,346 796 2061,"Via Leonardo da Vinci, 13",Castelluccio dei Sauri,,,https,WordPress,No,Aruba S.p.A.,56,84,100.00,Sì,No
Pienneffe Boutique,Negozio di abbigliamento,,348 091 4116,"Viale Aldo Moro, 31",Apricena,,,,,,,,,,,
Eurospesa Supermarket Di Di Domenico Antonio,Alimentari,,0881 962091,"Via Giardini, 1",Castelluccio dei Sauri,,,,,,,,,,,
SWEET CAFÉ snc di Rosa e Lisa Pezzano,Bar caffè,,329 949 0516,"Via Roma, 4",Castelluccio dei Sauri,,,,,,,,,,,
CityModa,Negozio di abbigliamento,http://www.citymoda.it/,0832 455591,Via Gino De Sanctis,Lecce,,info@citymoda.it,http,Shopify,Sì,"Cloudflare, Inc.",41,43,92.00,Sì,No
Proshop - Tutto per il pulito,Casalinghi,,345 785 4306,"Via Giardino, 150",Biccari,,,,,,,,,,,
Minimarket Despar Di Basile Costantina,Negozio di alimentari,,0881 591012,"Via Giardino, 32",Biccari,,,,,,,,,,,
Giò Calzature,Negozio di scarpe,http://www.calzaturegio.it/,0973 663808,"Via Roma, 440",Castelluccio Inferiore,,,http,React,No,Aruba S.p.A. Network,86,98,91.00,Sì,No
Tabaccheria Di Ferringo Michele,Tabaccheria,,0881 591248,"Via Giardino, 194",Biccari,,,,,,,,,,,
Boutique della Carne Raffaele,Macelleria,,347 660 8909,"Via Fuori Porta Garofalo, 108/110",Biccari,,,,,,,,,,,
Mondotech Di Menichella Antonio,Negozio di telefoni cellulari,,0881 591354,"7, Vico Le Grazie, Biccari, FG 71032",Biccari,,,,,,,,,,,
Valente Moda apricena,Negozio di abbigliamento,,380 794 5481,"Via Roma, 11",Apricena,,,,,,,,,,,
Quattro Ruote,Negozio di pneumatici,,329 787 6687,"Via Giardino, 82/84",Biccari,,,,,,,,,,,
Capricci Boutique Apricena,Negozio di abbigliamento per bambini,https://capricciboutique.it/,327 311 3204,"Viale Aldo Moro, 70",Apricena,,info@capricciboutique.it,https,React,Sì,Aruba S.p.A,77,55,100.00,Sì,No
Agri Shop Di Marinaccio Pasquale,Fornitore di trattori e macchine agricole,,0881 981399,Contrada Serrone,Accadia,,,,,,,,,,,
Misa Store,Negozio di abbigliamento,,324 809 5458,"Piazza S. Luigi, 3",Accadia,,,,,,,,,,,
De Bellis Rosa,Negozio di alimentari,,0881 593346,"Via Giardino, 65",Biccari,,,,,,,,,,,
Bottega della frutta di Solimine Franco,Fruttivendolo,,349 426 9202,"Viale Roma, 11",Accadia,,,,,,,,,,,
Tronix Srl,Negozio di computer,,0881 593365,"Piazza Giacomo Matteotti, 19",Biccari,,,,,,,,,,,
"IQOS PARTNER - Marinaccio Antonio, Accadia",Tabaccheria,,0881 981626,"Piazza S. Luigi, 6",Accadia,,,,,,,,,,,
L'Angolo Fiorito Di Paoletta Antonella,Flower designer,,0881 986018,"Via Caporale Bonito Antonio, 71",Accadia,,,,,,,,,,,
Stefanini Gerardo Ingrosso Bibite e Market,Alimentari,,0881 981268,"Via Caporale Bonito Antonio, 63",Accadia,,,,,,,,,,,
Giò Home di Giovanna Palandra,Negozio di intimo,,328 346 4077,"Via Pier Santi Mattarella, 32",Accadia,,,,,,,,,,,
"👑GENERAL SHOES, LE ORME ART. SPORTIVI, ORIGINALS Boutique Italy, Mirabella Marchese di Accadia.",Negozio di scarpe,,320 188 6256,"Via Pier Santi Mattarella località, Madonna delle Grazie, 1",Accadia,,,,,,,,,,,
Agrifer Di Schiavone Nicola,Ferramenta,,0881 981166,"Via Giovanni Amendola, 16",Accadia,,,,,,,,,,,
Tabaccheria LANDI di Pasquariello Giuseppe,Tabaccheria,,347 470 6230,"Via Don Luigi Sturzo, 2",Accadia,,,,,,,,,,,
Domenico,Casalinghi,,345 067 6073,"Via D'Aversa, 30",Accadia,,,,,,,,,,,
Tabaccheria da Francesco,Tabaccheria,,0881 317152,"Viale Roma, 19",Accadia,,,,,,,,,,,
Non solo gadget,Cartoleria,,393 673 5512,"Via Giuseppe Mirabella, 109",Accadia,,,,,,,,,,,
Maison Della Frutta di Amicola Maria Carmela,Minimarket,,346 755 4796,"Via Pier Santi Mattarella, 34",Accadia,,,,,,,,,,,
Supermercato Marinaccio dal 1946,Centro commerciale,,0881 981054,"Viale Roma, 36",Accadia,,,,,,,,,,,
Zelano Michele & C. (S.N.C.),Negozio di mobili,,0881 981019,"Via Caporale Bonito Antonio, 48",Accadia,,,,,,,,,,,
Gerardo,Fornaio,,338 963 6228,"Via Roma, 54",Castelluccio dei Sauri,,,,,,,,,,,
Griffes Boutique Deliceto,Negozio di abbigliamento,https://www.griffesboutique.com/,0881 963928,"Corso Margherita, 64/66",Deliceto,,griffesboutique.shoponline@gmail.com,https,React,Sì,Google LLC,38,71,100.00,Sì,No
"incontromoda di Antonio Testa Abbigliamento & accessori uomo in Via Tiberio Solis, 49 a San Severo fg",Negozio di abbigliamento uomo,,0882 222865,"Via Tiberio Solis, 49",San Severo,,,,,,,,,,,
Fashion Time Di Panipucci Sonia,Negozio di abbigliamento,,0882 225315,"Via Michele Zannotti, 41",San Severo,,,,,,,,,,,
Nocella Remigio,Negozio di elettrodomestici,,0881 962686,"Via Roma, 99",Castelluccio dei Sauri,,,,,,,,,,,
Cristinziano Gioielleria,Gioielliere,https://www.gioielleriamomentipreziosi.it/it/content/4-chi-siamo,329 873 5866,"Via Fuori Porta Garofalo, 23",Biccari,,,https,ASP.NET,No,Aruba S.p.A.,78,97,83.00,Sì,No
Cb Bottazzo Abbigliamento,Negozio di abbigliamento,https://cbbottazzo.com/,0833 880413,"Via Savoia, 94",Galatone,,,https,Shopify,No,"Cloudflare, Inc.",56,96,100.00,Sì,No
Fior di Loto Abbigliamento,Negozio di abbigliamento,,347 601 5767,"Corso Giuseppe Garibaldi, 111",Serracapriola,,,,,,,,,,,
Giuseppina’s shop,Negozio di abbigliamento giovanile,,392 071 3347,Corso Vittorio Emanuele,Colletorto,,,,,,,,,,,
Monteleone Moda Srl,Negozio di abbigliamento,,331 383 8322,"Via Recca, 7",San Severo,,,,,,,,,,,
Charme & More di Polito Angela,Negozio di abbigliamento,,0881 530840,"Via Luigi Zuppetta, 28",Lucera,,,,,,,,,,,
Tarantino Abbigliamento,Negozio di abbigliamento,https://www.asscommuro.it/gli-associati/39-tarantino-giovanni-abbigliamento,0836 342162,"Via Corsica, 138",Muro Leccese,,info@asscommuro.it,https,Joomla,Sì,Planetel SPA,84,99,100.00,Sì,No
Bartoli Abbigliamento,Negozio di abbigliamento donna,,0874 823834,"Via Opplaco, 6",Larino,,,,,,,,,,,
Abbigliamento STILE ITALIA,Negozio di abbigliamento,,0824 963835,"Piazza Giuseppe Garibaldi, 19",San Bartolomeo In Galdo,,,,,,,,,,,
Collection Abbigliamento e Cerimonia Uomo,Negozio di abbigliamento uomo,https://www.collectionabbigliamento.it/,0882 225863,"Via Tiberio Solis, 74",San Severo,,,https,React,No,Register.IT S.p.A,60,87,92.00,Sì,No
Di Giovanni Giulio S.r.l. Filiale di Castelluccio dei Sauri,Alimentari,http://www.supermercatidigiovanni.it/,0881 962772,"Piazza Camillo Benso Conte di Cavour, 3",Castelluccio dei Sauri,,ufficio@supermercatidigiovanni.it,http,Altro,Non trovato,Amazon Technologies Inc.,67,95,85.00,Stato Non Determinato,No
Avenue 21 CENICOLA,Negozio di abbigliamento,,388 173 0173,"Via Papa Giovanni XXIII, 21",Pietramontecorvino,,,,,,,,,,,
Fusco Abbigliamento,Negozio di abbigliamento,https://fuscoabbigliamento.it/,346 734 8892,"Via C. Battisti, 53",Casalvecchio di Puglia,,fuscoabbigliamento@gmail.com,https,React,Sì,SEEWEB s.r.l.,60,83,92.00,Sì,No
Pinko Boutique Lecce,Negozio di abbigliamento donna,,0832 256031,"Via Salvatore Trinchese, 42/C",Lecce,,,,,,,,,,,
Gigi Coi boutique,Negozio di abbigliamento,https://www.gigicoi.com/,0833 593355,"Via Padre Serafino da Parabita, 7",Parabita,,shop@gigicoi.com,https,Shopify,Sì,"Cloudflare, Inc.",60,84,92.00,Sì,No
Abbigliamento Trentuno10,Negozio di abbigliamento,,0882 602170,"Via Gian Battista Vico, 25",Torremaggiore,,,,,,,,,,,
4stagioni Della Moda,Negozio di abbigliamento,,0881 665919,Corso del Mezzogiorno,Foggia,,,,,,,,,,,
Marinella boutique,Negozio di abbigliamento,http://marinellaboutique.sumupstore.com/,329 189 2831,"Via Roma, 27",Apricena,,,http,Altro,Non trovato,"Cloudflare, Inc.",94,99,42.00,Stato Non Determinato,No
