Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Elettro Store Service Di Savino Zanni,Elettricista,,0885 782039,"Via Foria, 43",Orta Nova,,,,,,,,,,,
Teknoelectri System srl,Elettricista,,0885 981155,"Largo Risorgimento, 25",Orta Nova,,,,,,,,,,,
Ga Impianti Di Gervasio Antonio,Elettricista,,0885 792975,"Via Spagna, 9",Orta Nova,,,,,,,,,,,
Ferramenta Luigiotto Sas,Ferramenta,,0884 595559,"Via Alcide de Gasperi, 15",Mattinata,,,,,,,,,,,
Dipergola Francesco Paolo,Elettricista,,0885 787062,"Via Quiriti, 3",Orta Nova,,,,,,,,,,,
Diem - Impianti elettrici industriali e domestici,Elettricista,,348 392 5805,"Via Andrea Angiulli, 61",Bari,,,,,,,,,,,
Ferramenta E Materiali Edili Carmelo Volpe,Ferramenta,,0881 983246,"Via Mancini, 119",Monteleone di Puglia,,,,,,,,,,,
Illumìnati Impianti Elettrici by A. Gatti,Elettricista,,339 465 6612,Via Guido Rossa,Santeramo In Colle,,,,,,,,,,,
MASTRANDREA IMPIANTI,Elettricista,,339 111 5312,"Via Cesare Battisti, 1",Gravina in Puglia,,,,,,,,,,,
Elettro2g impianti elettrici ed elettronici,Elettricista,,347 882 6660,"Via Alessandro Manzoni, 25",Biccari,,,,,,,,,,,
LPN IMPIANTI,Elettricista,,320 533 0833,"Via Marchese de Rosa, 9",Foggia,,,,,,,,,,,
Elettrotecnica Antonio Occulto,Elettricista,,0881 686001,"Via Giuseppe Rosati, 161",Foggia,,,,,,,,,,,
Videocenter di Gentile Berardino,Servizio di riparazione di televisioni,http://www.videocentermattinata.it/,0884 559518,"Via Alcide de Gasperi, 47",Mattinata,,videocenter.gentile@virgilio.it,http,WordPress,No,SEEWEB s.r.l.,89,99,75.00,Sì,Sì
D.P. ELETTROIMPIANTI di Di Paola Giuseppe,Elettricista,,392 180 1988,Via Martiri,Ariano Irpino,,,,,,,,,,,
LFA Impianti di Laganella Francesco Antonio,Elettricista,,0881 178 2697,"Piazza Scaramella, 18",Foggia,,,,,,,,,,,
ROPER impianti,Elettricista,,338 112 1217,"Via Leonardo da Vinci, 5",Acquaviva delle Fonti,,,,,,,,,,,
Rocchetta Sant'Antonio,Ufficio dell'amministrazione comunale,,0885 654007,"Piazza Aldo Moro, 1",Rocchetta Sant'Antonio,,,,,,,,,,,
Di Pinto S.r.l.,Elettricista,,080 536 7426,"Km. 118 Strada Statale 96, Modugno, BA 70026",Modugno,,,,,,,,,,,
Societa' El.C.I. Impianti - S.R.L.,Elettricista,,0881 682282,"Corso del Mezzogiorno, 21",Foggia,,,,,,,,,,,
A.N. Impianti Elettrici,Elettricista,,340 645 3669,Contrada Medichicchio,Poggiorsini,,,,,,,,,,,
Albano Impianti,Fornitore di impianti di riscaldamento,,328 119 3251,Via Padre Lorenzo,Volturino,,,,,,,,,,,
Elettroimpiantistica di Zolli Giuseppe - LUCERA,Elettricista,,338 154 7959,"Via Livorno, 5",Lucera,,,,,,,,,,,
Della Santa Giovanni,Elettricista,,0881 972292,"Via Santa Maria, 58",Castelluccio Valmaggiore,,,,,,,,,,,
