Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Alizzi Centro Estetico,Centro estetico,,351 601 8974,"Via Luigi Corvaglia, 20",Lecce,,,,,,,,,,,
L’Angolo della Venere di Domenica Di Nunzio e Anna Di Nunzio,Centro salute e bellezza,,0884 900067,"Via S. Cirillo, 68",Carpino,,,,,,,,,,,
Oleificio Sio S.p.A,Oleificio,,0884 997033,contrada coppa,Carpino,,,,,,,,,,,
centro estetico Karisma Estetica,Centro estetico,,328 116 8536,"Via Caruso Pasquale, 45",Candela,,,,,,,,,,,
Gio's beauty paradise,Centro estetico,,0882 644007,"Via Melissa, 53",Apricena,,,,,,,,,,,
Lavanderia Minò Giuseppe Centro professionale di Lavaggio A Secco,Lavanderia,,0882 641637,"Via Fratelli Rosselli, 72",Apricena,,,,,,,,,,,
"Palazzetto dello Sport ""Palafranchino""",Sala fitness,,349 764 4638,"Via Guido Rossa, 27",Apricena,,,,,,,,,,,
World Fitness,Sala fitness,,345 494 4089,"Via Avola, 41",Apricena,,,,,,,,,,,
Tato' Paride S.P.A.,Alimentari,,0882 645502,"Km. 8.400 Strada Statale 89, Apricena",Apricena,,,,,,,,,,,
RANU Istituto di Bellezza,Centro benessere,https://istitutodibellezzaranu.it/,349 675 4672,"Via Luigi Galasso, 34",Apricena,,,https,React,No,Keliweb S.R.L,55,70,85.00,Sì,No
L'essenza della Bellezza,Centro estetico,,340 937 0158,"Via Roma, 72",Apricena,,,,,,,,,,,
Grotta degli Ulivi,Ristorante,http://www.grottadegliulivi.it/,0882 645834,Contrada Dell'Incoronata,Apricena,,,http,React,No,Serverplan s.r.l.,63,90,100.00,Sì,No
Omnia Salus,Centro medico,https://omnia-salus7.webnode.it/,346 983 1960,"Viale Aldo Moro, 134 c/3",Apricena,,contatto@esempio.it,https,React,No,Amazon Technologies Inc.,65,96,100.00,Sì,Sì
A.S.Dill. Virya Body & Mind,Palestra,,349 053 4581,"Via Giovanni Pascoli, 11",Apricena,,,,,,,,,,,
Benè Spa Benessere,Centro estetico,http://www.benespa.it/,080 444 6948,"Largo Angelo Zizzi, 16/17/16/17",Cisternino,,info@benespa.it,http,WordPress,No,Google LLC,59,77,85.00,Sì,No
Valentino Patrizia,Centro estetico,,0832 246245,"Via Roberto di Biccari, 17",Lecce,,,,,,,,,,,
Agriturismo Masseria Lauri,Agriturismo,,333 199 4968,"Unnamed Road, 71032",Biccari,,,,,,,,,,,
STUPOR MUNDI wellness & spa,Centro benessere,,0881 549765,Via Vittorio Veneto,Lucera,,,,,,,,,,,
Istituto di Bellezza Afrodite,Centro estetico,,0881 714583,"Via Michele Menichella, 6/F8",Foggia,,,,,,,,,,,
Marilyn di Elena Checchia,Centro estetico,,340 614 5882,"Via Giardino, 35",Biccari,,,,,,,,,,,
Giacobbe.lab,Centro estetico,https://www.giacobbelab.it/,320 408 5511,Via Melissa,Apricena,,,https,WordPress,No,Keliweb S.R.L,60,66,83.00,Sì,No
