Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Il mondo degli animali,Negozio per animali,,375 877 8315,"Piazza Cavour, 17",Pietramontecorvino,,,,,,,,,,,
Baum store,Negozio per animali,,346 131 2494,Via La Quarta,Frigento,,,,,,,,,,,
Animal Beauty Center Di Moscatelli Andrea,Negozio di animali,,0882 600180,"Corso Giacomo Matteotti, 269",Torremaggiore,,,,,,,,,,,
Il Micromarket di Pilla Antonietta,Alimentari,,348 825 7925,"Corso Cardinale Pietro Parente, 13",Casalnuovo Monterotaro,,,,,,,,,,,
Animal House,Negozio per animali,,0825 872361,"Via Martiri Perazzo, 153",Ariano Irpino,,,,,,,,,,,
Farmacia Margiotta Snc,Farmacia,,0881 982024,"48 Strada St. 91 Bis, Anzano Di Puglia, FG 71020",Anzano di Puglia,,,,,,,,,,,
Al Piccolo Zoo,Toelettatura di animali domestici,,0825 892081,Via Cardito,Ariano Irpino,,,,,,,,,,,
Avicola Grandola,Negozio di animali,,339 296 2967,"Contrada S. Vito, 45",Montecalvo Irpino,,,,,,,,,,,
PET MARKET By Zoopark Mesagne,Negozio per animali,,0832 182 7909,"Via San Vito dei normanni, 7",Mesagne,,,,,,,,,,,
Di Laurenzo Teresa,Negozio per animali,,0825 801135,"45W9+63, Contrada Montagna, 28/a",Masseria Montagna,,,,,,,,,,,
Verde Irpinia Group Foraggi Mangimi Zootecnici Avellino,Negozio per animali,,380 353 5570,"Contrada Margine, 6",Andretta,,,,,,,,,,,
Pet Heaven,Negozio per animali,,346 648 5300,"Viale Candelaro, 53",Foggia,,,,,,,,,,,
Pet Store Srl,Negozio per animali,,0823 827267,Via Raffaele Musone,Marcianise,,,,,,,,,,,
Caprarella Enrico E Ido,Alimentari,,0885 653645,"Piazza Plebiscito, 8",Candela,,,,,,,,,,,
CONAD CITY,Alimentari,https://www.conad.it/ricerca-negozi/conad-city-via-armando-diaz-snc-71033-casalnuovo-monterotaro--006993,0881 515052,"Via A. Diaz, SNC",Casalnuovo Monterotaro,,,https,Hugo,Sì,"Fastly, Inc.",44,78,92.00,Sì,No
Animal Store,Toelettatura di animali domestici,,080 424 0846,"Via Parco del Lauro, 6",Polignano a Mare,,,,,,,,,,,
Eurospesa Supermarket Di Di Domenico Antonio,Alimentari,,0881 962091,"Via Giardini, 1",Castelluccio dei Sauri,,,,,,,,,,,
Piccolo Zoo di Panunzio G&C Srl,Negozio di animali,,0881 772016,"Via Santa Maria della Neve, 26",Foggia,,,,,,,,,,,
PET STORE CONAD,Negozio di animali,https://www.conad.it/ricerca-negozi/pet-store-conad-largo-brigate-alpine-2-43035-felino--050450,0522 488870,"Largo Brigate Alpine, 2",Felino,,conad.felino@conadcentronord.it,https,Hugo,Sì,"Fastly, Inc.",55,56,92.00,Sì,No
la Fattoria di Nonno Peppino,Rifugio per animali,https://lafattoriadinonnopeppino.wordpress.com/,338 398 6196,Sp95 Km13 Cerignola-Candela Lato Sx,Cerignola,,,https,Angular,No,"Automattic, Inc",56,89,100.00,Sì,No
Market per Animali,Negozio per animali,,0881 025686,"Via Attilio Muscio, 16",Foggia,,,,,,,,,,,
Quattro Zampe & Co.,Negozio per animali,http://www.quattrozampefoggia.it/,0881 662004,"Corso del Mezzogiorno, 21 E/F",Foggia,,,http,ASP.NET,No,Aruba S.p.A. Network,100,100,82.00,Sì,No
Candela pet shop,Negozio di animali,,+598 91 577 544,Camino paso escobar entre real de Azúa y olimar complejo loma alta,Ciudad de la Costa,,,,,,,,,,,
Hobby Dog Store - Tutto per il tuo Amico a Quattro Zampe,Negozio di animali,http://www.hobbydogstore.com/,0882 604085,"Via Corato, 52",San Severo,,consulenza.delvecchio@gmail.com,http,WordPress,No,Google LLC,42,47,100.00,Sì,No
Eden Zoo Acquari di Michele Pedone,Negozio di acquari,,0881 611960,"Via Marchese de Rosa, 19",Foggia,,,,,,,,,,,
Joe Zampetti by Isola dei Tesori - Foggia,Negozio per animali,https://joezampetti.it/punti-vendita-joe-zampetti-petstore/foggia/,0881 070681,"Viale Ignazio d'Addedda, 2/C 2/D 2/F",Foggia,,694004@megamark.it,https,Shopify,Sì,Host Europe GmbH,50,66,77.00,Sì,No
Candela Pet's,Negozio di animali,,+54 11 4686-2717,Av. Lisandro de la Torre 1329,ECB,,,,,,,,,,,
l'arca di willy,Negozio per animali,,377 385 9857,"Piazza Padre Pio, 39",Foggia,,,,,,,,,,,
Cani&Gatti pet shop,Negozio per animali,,389 037 0759,"Viale Ferrovia, 61",Orta Nova,,,,,,,,,,,
Stelle a 4 Zampe,Negozio per animali,,389 034 2927,"Via Nicola Campanile, 10",Foggia,,,,,,,,,,,
"Il Mondo Sommerso - Acquari, Pesci Tropicali - di Terribile Giuseppe",Negozio di acquari,,327 357 2325,"Via dell'Immacolata, 50",Foggia,,,,,,,,,,,
ANIMALANDIA,Negozio di animali,https://www.animalandiataranto.com/,347 945 0067,"Via Salina Piccola, 12",Taranto,,,https,WordPress,No,"Automattic, Inc",85,97,54.00,Sì,No
Green Dog,Negozio per animali,,328 170 4291,Via S. Rosa,Stornara,,,,,,,,,,,
Scodinzolare.it,Negozio di animali,,351 967 4615,Piazzale S. Giuseppe Artigiano,Foggia,,,,,,,,,,,
PelosAmici,Negozio di animali,,327 945 5419,"Via Pietro Nenni, 22",Foggia,,,,,,,,,,,
Pet Store,Negozio di animali,https://www.pet-store.it/,095 506600,"Via Etnea, 618",Catania,,shop@pet-store.it,https,Magento,No,Hetzner Online GmbH,34,49,83.00,Sì,No
Mini Zoo Di Parente Luigi,Negozio per animali,,0874 412678,"Via Conte Rosso, 55",Campobasso,,,,,,,,,,,
