Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Hair Stylist Decataldo,Salone da parrucchiere,,099 972 1315,"Via Roma, 26",Sava,,,,,,,,,,,
Mimma Micelli Acconciature,Salone da parrucchiere,,333 236 6195,"Via Milazzo, 22",Sava,,,,,,,,,,,
Parrucchiere Mimmo,Parrucchiere,,340 772 0257,"Via Goito, 2",Sava,,,,,,,,,,,
Fashion Armony Saracino Parrucchieri Nadia,Salone da parrucchiere,,348 120 5613,"Via A. Manzoni, 26",Sava,,,,,,,,,,,
Studiomoda Parrucchieri Daniela Rossetti,Parrucchiere,,333 667 1836,Corso Francia,Sava,,,,,,,,,,,
By Pino,Barbiere,,339 573 5305,Via Pietro Mascagni,Sava,,,,,,,,,,,
Heritage Parrucchieri,Parrucchiere,,0831 385261,"Via Torino, 27",Ceglie Messapica,,,,,,,,,,,
euphoria acconciature di Franco Miriana,Salone da parrucchiere,,366 938 3105,"Via Nazario Sauro, 6",Ceglie Messapica,,,,,,,,,,,
Eden Hair parrucchiere di Marialucia Salonna,Parrucchiere,,333 618 0176,"Via Mattarella Pier Santi, 26-28",Ceglie Messapica,,,,,,,,,,,
The Beauty of Women di Olga Palazzo,Salone da parrucchiere,,340 978 6762,"Via Roma, 172",Sava,,,,,,,,,,,
Idee per la testa parrucchiere,Parrucchiere,,324 662 7364,"Via Cristoforo Colombo, 15/17",Ceglie Messapica,,,,,,,,,,,
Elia Paolo,Salone da parrucchiere,,0831 380460,"Via Milano, 2/4",Ceglie Messapica,,,,,,,,,,,
Eventohairstyle Barber Shop Centro Estetico,Salone da parrucchiere,,351 938 1461,"Via Vittorio Bachelet, 14",Ceglie Messapica,,,,,,,,,,,
Identità parrucchieri,Salone da parrucchiere,,388 348 1572,"Via Ovidio, 1/C",Ceglie Messapica,,,,,,,,,,,
Back Stage acconciatori di Lomartire Tonia,Salone da parrucchiere,https://bookizon.it/dl/back-stage,333 295 8131,"Via Roma, 132a",Sava,,loartiretonia@gmail.com,https,Shopify,Sì,"Cloudflare, Inc.",64,99,82.00,Sì,No
Luci & ombre parucchieri,Salone da parrucchiere,,392 398 4893,Via Apulia,Ceglie Messapica,,,,,,,,,,,
BENHAIRT,Parrucchiere,,368 785 9074,"Via Umberto I, 35",Ceglie Messapica,,,,,,,,,,,
Tagliatixilsuccesso Ceglie Messapica,Salone da parrucchiere,,0831 162 7489,"Via Martina, 78",Ceglie Messapica,,,,,,,,,,,
