Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
LE STAGIONI DELLA VITA,Bed & Breakfast,,328 842 7433,"Via Michelangelo Buonarroti, 16",Bovino,,,,,,,,,,,
B&B La Casetta di Nonna Carmela,Bed & Breakfast,,349 183 1389,"Piazza Bizantina, 6",Bovino,,,,,,,,,,,
residenza le ginestre,Bed & Breakfast,,0881 961104,"Via Delfina Loffredo, 4",Bovino,,,,,,,,,,,
Beb A CASA D NENÉ,Bed & Breakfast,,345 455 9874,"Via Cesare Battisti, 117",Lesina,,,,,,,,,,,
residenza lastene,Bed & Breakfast,,0881 961926,"Via Lastene, 27",Bovino,,,,,,,,,,,
B&B La Casa Del Borgo,Alloggi al coperto,,0881 615125,"Piazza Sant'Angelo, 13",Bovino,,,,,,,,,,,
Locanda Ballarò,Ristorante,https://locandaballaro.it/,0881 963126,contrada varco sn,Deliceto,,,https,WordPress,Sì,Aruba S.p.A. Network,63,93,92.00,Sì,No
Bed & Breakfast Corso Roma,Bed & Breakfast,http://bnbcorsoroma.it/,349 640 3977,"Piazzale Andrea Costa, 2",Apricena,,,http,Vue,No,"Amazon.com, Inc.",65,86,100.00,Sì,No
Agriturismo Masseria Salecchia,Fattoria,http://www.masseriasalecchia.it/,340 774 5309,"SP122, km 4,4",Bovino,,info@masseriasalecchia.it,http,WordPress,No,Aruba S.p.A.,77,78,92.00,Sì,No
B&B Federico II,Bed & Breakfast,,346 825 5931,Corso Generale Torelli,Apricena,,,,,,,,,,,
Bed & Breakfast La Posta,Bed & Breakfast,https://www.laposta-bovino.it/,349 518 4724,Piazza Conti di Loretello,Bovino,,lucio.liscio@gmail.com,https,WordPress,No,Aruba S.p.A.,72,97,92.00,Sì,No
B&B Da Nicola,Bed & Breakfast,,331 288 3795,"Via Giovanni Pascoli, 9",Poggio Imperiale,,,,,,,,,,,
